Unnamed: 0,title,video_id,published_at,keyword,likes,comments,views,pctile_7d_views,pctile_30d_views,pctile_alltime_views,like_rate,comment_rate,age_days,views_per_day,cohort_month,sentiment_var,sentiment_entropy,comment_likes_var,n_comments,frac_neg,frac_neu,frac_pos,mean_comment_likes,sentiment_var_norm,comment_likes_var_norm,sentiment_entropy_norm,controversy_score,consistent_high_performer
1307,World&#39;s Largest Bowl Of Cereal,xRwy_rKc7gI,2019-05-15,mrbeast,2030057.0,81670.0,107126467.0,100.0,100.0,98.35018626929217,0.018950097551522913,0.0007623699566233244,1197,89495.79532163743,2019-05,0.64,1.3709505944503406,2258736134.7599993,10,0.2,0.2,0.6,17754.2,0.64,0.02641605445776913,0.8649735207176815,0.5104631917251502,True
417,How to Solve a 3x3 Rubik&#39;s Cube In No Time | The Easiest Tutorial,KGvQRaK1mvs,2019-05-24,cubes,511551.0,25520.0,49429306.0,100.0,80.0,96.22139435870145,0.010349143886422359,0.0005162929052655524,1188,41607.15993265993,2019-05,0.24000000000000005,0.9709505944517833,117264132.85,10,0.0,0.4,0.6,6466.5,0.24000000000000005,0.001371411061096702,0.6126016192895494,0.2846576767835487,True
1296,24 Hours In The Most Haunted Place On Earth,YyhKdOCwD7s,2019-05-30,mrbeast,2021442.0,121200.0,66999237.0,100.0,87.5,97.01969132517296,0.0301711197099155,0.0018089758246052862,1182,56682.941624365485,2019-05,0.16,0.7219280948844771,6038801897.05,10,0.0,0.8,0.2,28330.5,0.16,0.07062415007988623,0.4554859150035144,0.22870335502780023,True
1310,"Last To Leave VR Wins $20,000",RCvnytndd9c,2019-06-08,mrbeast,2135851.0,91698.0,93319974.0,100.0,90.0,97.76476849387973,0.022887393860611234,0.0009826192193324015,1173,79556.67007672634,2019-06,0.64,1.3709505944503406,224074.55999999997,10,0.2,0.2,0.6,368.2,0.64,2.6205654075612478e-06,0.8649735207176815,0.5016587137610297,True
1302,I Opened The World&#39;s First FREE Store,n6qc4LHN2KQ,2019-06-15,mrbeast,1801566.0,76492.0,61197670.0,100.0,83.33333333333334,96.75359233634913,0.029438473719669393,0.0012499168677500303,1166,52485.137221269295,2019-06,0.0,-1.4428232973175175e-12,1414264692.85,10,0.0,0.0,1.0,17547.5,0.0,0.01653991033706791,0.0,0.005513303445689303,True
284,Java Tutorial for Beginners,eIrMbAQSU34,2019-07-15,tutorial,195700.0,7321.0,7569833.0,100.0,100.0,85.89675359233635,0.025852617884701022,0.0009671283369131129,1136,6663.585387323944,2019-07,0.09,0.46899559358639586,45555.21000000001,10,0.0,0.1,0.9,150.3,0.09,5.327709109868977e-07,0.29590327428901314,0.12863460235330804,True
942,Kids Try Prison Food from Around the World | Kids Try | HiHo Kids,FqNEx17crMI,2019-07-16,food,146566.0,13664.0,14073219.0,100.0,100.0,91.16551357104842,0.010414532737677144,0.0009709221465252549,1135,12399.311894273127,2019-07,0.36000000000000004,0.46899559358639586,14353996.16,10,0.1,0.0,0.9,2026.2,0.36000000000000004,0.0001678708452988282,0.29590327428901314,0.21869038171143731,True
1119,Maroon 5 - Animals (Lyrics),0GVExpdmoDs,2019-07-22,animals,1103713.0,29774.0,106151957.0,100.0,100.0,98.2969664715274,0.010397481414308735,0.00028048470175636987,1129,94022.99114260408,2019-07,0.44000000000000006,1.3609640474393532,69143178.55999999,10,0.1,0.4,0.5,3896.2,0.44000000000000006,0.0008086336168780897,0.8586727110729979,0.4331604482299587,True
316,Euphoria’s Alexa Demie Shares Her ’90s Glam Tutorial | Beauty Secrets | Vogue,UxQg3_Cmwhw,2019-07-30,tutorial,869059.0,12196.0,21485819.0,100.0,90.0,93.29430548163917,0.04044802760369526,0.0005676302122809468,1121,19166.653880463873,2019-07,0.44000000000000006,1.1567796494427114,332925442.6100001,10,0.1,0.2,0.7,8095.7,0.44000000000000006,0.003893583002911102,0.7298466991616058,0.3912467607215057,True
1319,"Last To Leave Roller Coaster Wins $20,000 - Challenge",gL6iSCSHjco,2019-08-17,mrbeast,2121115.0,65601.0,92621700.0,100.0,85.71428571428571,97.71154869611496,0.022900842891028776,0.0007082681488247355,1103,83972.5294650952,2019-08,0.45,1.2954618442339936,2584068915.65,10,0.1,0.3,0.6,25206.5,0.45,0.030220840826851097,0.8173454221461777,0.4325220876576763,True
225,How to Solve a Rubik&#39;s Cube | WIRED,R-R0KrXvWbc,2019-09-05,how-to,339758.0,32718.0,29905105.0,100.0,87.5,94.598190526876,0.011361204048606417,0.0010940606963259283,1084,27587.735239852398,2019-09,0.44000000000000006,1.1567796494427114,39645727.239999995,20,0.1,0.2,0.7,3234.6,0.44000000000000006,0.00046365915596466046,0.7298466991616058,0.3901034527725235,True
